Calm,Calm,Calm,Calm,Calm,Calm,SW,S,SW,Calm,Calm,Calm
Calm,Calm,SW,Calm,Calm,Calm,S,SW,SW,Calm,Calm,Calm
Calm,SE,Calm,Calm,Calm,SW,S,SW,Calm,SE,Calm,Calm
NW,Calm,Calm,SW,SW,NW,SW,SW,Calm,Calm,Calm,Calm
SE,Calm,Calm,Calm,Calm,Calm,SW,Calm,SW,Calm,Calm,Calm
Calm,SW,Calm,Calm,Calm,Calm,SW,Calm,Calm,Calm,Calm,Calm
Calm,Calm,Calm,NW,Calm,SW,SW,Calm,Calm,Calm,Calm,Calm
Calm,Calm,NW,Calm,Calm,SW,SW,Calm,Calm,Calm,Calm,Calm
Calm,Calm,Calm,Calm,Calm,S,Calm,Calm,SW,Calm,Calm,SW
Calm,Calm,NW,SW,Calm,SW,Calm,SW,SW,NE,Calm,Calm
Calm,Calm,SW,Calm,Calm,SW,SW,SW,SW,NE,Calm,Calm
Calm,Calm,SW,Calm,Calm,SW,NW,SW,SW,Calm,Calm,Calm
Calm,Calm,Calm,Calm,Calm,S,SW,SW,Calm,SW,Calm,Calm
Calm,Calm,SW,Calm,Calm,SW,SW,SW,Calm,Calm,Calm,Calm
Calm,NW,Calm,Calm,SW,SW,SE,SW,NE,Calm,Calm,Calm
Calm,NW,Calm,Calm,Calm,Calm,SW,SE,Calm,Calm,Calm,Calm
Calm,Calm,Calm,Calm,SW,Calm,SW,Calm,Calm,Calm,Calm,Calm
Calm,Calm,Calm,Calm,Calm,SW,Calm,SE,Calm,Calm,Calm,Calm
Calm,SW,SW,SW,SW,S,Calm,SW,Calm,Calm,Calm,S
Calm,Calm,Calm,Calm,SW,NW,Calm,Calm,W,Calm,Calm,Calm
Calm,Calm,Calm,Calm,SW,SW,SW,SW,Calm,Calm,Calm,Calm
Calm,Calm,SW,W,Calm,S,SW,NE,Calm,Calm,Calm,Calm
Calm,Calm,Calm,Calm,Calm,SW,Calm,SW,Calm,Calm,Calm,Calm
Calm,Calm,Calm,Calm,Calm,SW,SW,Calm,Calm,Calm,Calm,Calm
Calm,NW,Calm,Calm,SW,S,SW,SW,Calm,Calm,Calm,Calm
Calm,NE,Calm,Calm,Calm,Calm,SW,Calm,Calm,Calm,Calm,Calm
Calm,Calm,NW,Calm,NE,S,SW,SW,Calm,Calm,Calm,Calm
Calm,Calm,NW,Calm,SW,Calm,SW,SW,Calm,Calm,Calm,Calm
Calm,,Calm,Calm,Calm,S,SW,SW,Calm,Calm,Calm,Calm
Calm,,NW,Calm,SW,SW,Calm,SW,Calm,W,Calm,Calm
Calm,,NW,,SW,,SW,SW,,NE,,Calm
