created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2019-06-19 14:12:58 UTC,1,27.7000007629,48.0,,,,
2019-06-19 14:14:07 UTC,2,27.0,47.0999984741,,,,
2019-06-19 14:15:13 UTC,3,26.6000003815,48.9000015259,,,,
2019-06-19 14:16:16 UTC,4,26.2999992371,49.2999992371,,,,
2019-06-19 14:17:19 UTC,5,26.2000007629,49.7999992371,,,,
2019-06-19 14:18:22 UTC,6,26.1000003815,50.2999992371,,,,
2019-06-19 14:19:29 UTC,7,25.8999996185,50.7000007629,,,,
2019-06-19 14:20:32 UTC,8,25.7999992371,51.2999992371,,,,
2019-06-19 14:21:35 UTC,9,25.7999992371,51.7000007629,,,,
2019-06-19 14:22:38 UTC,10,25.7999992371,51.9000015259,,,,
2019-06-19 14:23:41 UTC,11,25.7000007629,52.0,,,,
2019-06-19 14:24:46 UTC,12,25.7000007629,52.2000007629,,,,
2019-06-19 14:25:52 UTC,13,25.6000003815,52.4000015259,,,,
2019-06-19 14:26:55 UTC,14,25.6000003815,52.5,,,,
2019-06-19 14:27:58 UTC,15,25.6000003815,52.5999984741,,,,
2019-06-19 14:29:01 UTC,16,25.6000003815,52.5999984741,,,,
2019-06-19 14:30:06 UTC,17,25.6000003815,52.5999984741,,,,
2019-06-19 14:31:09 UTC,18,25.6000003815,52.5999984741,,,,
2019-06-19 14:32:13 UTC,19,25.5,52.5999984741,,,,
2019-06-19 14:33:16 UTC,20,25.5,52.5999984741,,,,
2019-06-19 14:34:21 UTC,21,25.6000003815,52.5999984741,,,,
2019-06-19 14:35:28 UTC,22,25.6000003815,52.7000007629,,,,
2019-06-19 14:36:31 UTC,23,25.6000003815,52.9000015259,,,,
2019-06-19 14:37:34 UTC,24,25.6000003815,52.7999992371,,,,
2019-06-19 14:38:38 UTC,25,25.6000003815,52.7000007629,,,,
2019-06-19 14:39:41 UTC,26,25.6000003815,52.2999992371,,,,
2019-06-19 14:40:47 UTC,27,25.6000003815,52.4000015259,,,,
2019-06-19 14:41:54 UTC,28,25.5,52.4000015259,,,,
2019-06-19 14:42:57 UTC,29,25.6000003815,52.5,,,,
2019-06-19 14:44:00 UTC,30,25.5,52.5,,,,
2019-06-19 14:45:05 UTC,31,25.6000003815,52.4000015259,,,,
2019-06-19 14:46:08 UTC,32,25.5,52.5,,,,
2019-06-19 14:47:13 UTC,33,25.6000003815,52.9000015259,,,,
2019-06-19 14:48:16 UTC,34,25.6000003815,52.9000015259,,,,
2019-06-19 14:49:22 UTC,35,25.6000003815,53.2000007629,,,,
2019-06-19 14:50:26 UTC,36,25.6000003815,53.0,,,,
2019-06-19 14:51:30 UTC,37,25.5,52.7000007629,,,,
2019-06-19 14:52:32 UTC,38,25.5,52.7999992371,,,,
2019-06-19 14:53:39 UTC,39,25.5,52.7000007629,,,,
2019-06-19 14:54:43 UTC,40,25.5,52.5999984741,,,,
2019-06-19 14:55:47 UTC,41,25.5,52.5999984741,,,,
2019-06-19 14:56:51 UTC,42,25.5,52.7999992371,,,,
2019-06-19 14:57:55 UTC,43,25.5,52.5999984741,,,,
2019-06-19 14:58:58 UTC,44,25.5,52.5,,,,
2019-06-19 15:00:01 UTC,45,25.5,52.7000007629,,,,
2019-06-19 15:01:04 UTC,46,25.5,52.5999984741,,,,
2019-06-19 15:02:07 UTC,47,25.5,52.2000007629,,,,
2019-06-19 15:03:11 UTC,48,25.5,52.4000015259,,,,
2019-06-19 15:04:14 UTC,49,25.5,52.7000007629,,,,
2019-06-19 15:05:19 UTC,50,25.5,52.4000015259,,,,
2019-06-19 15:06:24 UTC,51,25.6000003815,52.0999984741,,,,
2019-06-19 15:07:30 UTC,52,25.5,52.2000007629,,,,
2019-06-19 15:08:34 UTC,53,25.6000003815,52.0,,,,
2019-06-19 15:09:37 UTC,54,25.5,52.0999984741,,,,
2019-06-19 15:10:39 UTC,55,25.5,52.0999984741,,,,
2019-06-19 15:11:43 UTC,56,25.5,52.0999984741,,,,
2019-06-19 15:12:46 UTC,57,25.5,52.0,,,,
2019-06-19 15:13:54 UTC,58,25.6000003815,52.0,,,,
2019-06-19 15:14:56 UTC,59,25.5,52.2000007629,,,,
2019-06-19 15:16:00 UTC,60,25.5,52.2999992371,,,,
2019-06-19 15:17:03 UTC,61,25.5,52.4000015259,,,,
2019-06-19 15:18:07 UTC,62,25.5,52.4000015259,,,,
2019-06-19 15:19:11 UTC,63,25.6000003815,52.0999984741,,,,
2019-06-19 15:20:14 UTC,64,25.6000003815,52.0999984741,,,,
2019-06-19 15:21:17 UTC,65,25.6000003815,51.7999992371,,,,
2019-06-19 15:22:23 UTC,66,25.6000003815,51.5,,,,
2019-06-19 15:23:28 UTC,67,25.6000003815,51.9000015259,,,,
2019-06-19 15:24:31 UTC,68,25.6000003815,51.9000015259,,,,
2019-06-19 15:25:37 UTC,69,25.6000003815,52.0999984741,,,,
2019-06-19 15:26:43 UTC,70,25.6000003815,53.2999992371,,,,
2019-06-19 15:27:47 UTC,71,25.6000003815,52.2000007629,,,,
