"created_at","entry_id","Temperature","Humidity"
"19-6-2019",,,
"8:42PM to 9:42PM",,,
"2019-06-19 14:12:58 PDT","1","27.700000763","48"
"2019-06-19 14:14:07 PDT","2","27","47.099998474"
"2019-06-19 14:15:13 PDT","3","26.600000381","48.900001526"
"2019-06-19 14:16:16 PDT","4","26.299999237","49.299999237"
"2019-06-19 14:17:19 PDT","5","26.200000763","49.799999237"
"2019-06-19 14:18:22 PDT","6","26.100000381","50.299999237"
"2019-06-19 14:19:29 PDT","7","25.899999619","50.700000763"
"2019-06-19 14:20:32 PDT","8","25.799999237","51.299999237"
"2019-06-19 14:21:35 PDT","9","25.799999237","51.700000763"
"2019-06-19 14:22:38 PDT","10","25.799999237","51.900001526"
"2019-06-19 14:23:41 PDT","11","25.700000763","52"
"2019-06-19 14:24:46 PDT","12","25.700000763","52.200000763"
"2019-06-19 14:25:52 PDT","13","25.600000381","52.400001526"
"2019-06-19 14:26:55 PDT","14","25.600000381","52.5"
"2019-06-19 14:27:58 PDT","15","25.600000381","52.599998474"
"2019-06-19 14:29:01 PDT","16","25.600000381","52.599998474"
"2019-06-19 14:30:06 PDT","17","25.600000381","52.599998474"
"2019-06-19 14:31:09 PDT","18","25.600000381","52.599998474"
"2019-06-19 14:32:13 PDT","19","25.5","52.599998474"
"2019-06-19 14:33:16 PDT","20","25.5","52.599998474"
"2019-06-19 14:34:21 PDT","21","25.600000381","52.599998474"
"2019-06-19 14:35:28 PDT","22","25.600000381","52.700000763"
"2019-06-19 14:36:31 PDT","23","25.600000381","52.900001526"
"2019-06-19 14:37:34 PDT","24","25.600000381","52.799999237"
"2019-06-19 14:38:38 PDT","25","25.600000381","52.700000763"
"2019-06-19 14:39:41 PDT","26","25.600000381","52.299999237"
"2019-06-19 14:40:47 PDT","27","25.600000381","52.400001526"
"2019-06-19 14:41:54 PDT","28","25.5","52.400001526"
"2019-06-19 14:42:57 PDT","29","25.600000381","52.5"
"2019-06-19 14:44:00 PDT","30","25.5","52.5"
"2019-06-19 14:45:05 PDT","31","25.600000381","52.400001526"
"2019-06-19 14:46:08 PDT","32","25.5","52.5"
"2019-06-19 14:47:13 PDT","33","25.600000381","52.900001526"
"2019-06-19 14:48:16 PDT","34","25.600000381","52.900001526"
"2019-06-19 14:49:22 PDT","35","25.600000381","53.200000763"
"2019-06-19 14:50:26 PDT","36","25.600000381","53"
"2019-06-19 14:51:30 PDT","37","25.5","52.700000763"
"2019-06-19 14:52:32 PDT","38","25.5","52.799999237"
"2019-06-19 14:53:39 PDT","39","25.5","52.700000763"
"2019-06-19 14:54:43 PDT","40","25.5","52.599998474"
"2019-06-19 14:55:47 PDT","41","25.5","52.599998474"
"2019-06-19 14:56:51 PDT","42","25.5","52.799999237"
"2019-06-19 14:57:55 PDT","43","25.5","52.599998474"
"2019-06-19 14:58:58 PDT","44","25.5","52.5"
"2019-06-19 15:00:01 PDT","45","25.5","52.700000763"
"2019-06-19 15:01:04 PDT","46","25.5","52.599998474"
"2019-06-19 15:02:07 PDT","47","25.5","52.200000763"
"2019-06-19 15:03:11 PDT","48","25.5","52.400001526"
"2019-06-19 15:04:14 PDT","49","25.5","52.700000763"
"2019-06-19 15:05:19 PDT","50","25.5","52.400001526"
"2019-06-19 15:06:24 PDT","51","25.600000381","52.099998474"
"2019-06-19 15:07:30 PDT","52","25.5","52.200000763"
"2019-06-19 15:08:34 PDT","53","25.600000381","52"
"2019-06-19 15:09:37 PDT","54","25.5","52.099998474"
"2019-06-19 15:10:39 PDT","55","25.5","52.099998474"
"2019-06-19 15:11:43 PDT","56","25.5","52.099998474"
"2019-06-19 15:12:46 PDT","57","25.5","52"
"2019-06-19 15:13:54 PDT","58","25.600000381","52"
"2019-06-19 15:14:56 PDT","59","25.5","52.200000763"
"2019-06-19 15:16:00 PDT","60","25.5","52.299999237"
"2019-06-19 15:17:03 PDT","61","25.5","52.400001526"
"2019-06-19 15:18:07 PDT","62","25.5","52.400001526"
"2019-06-19 15:19:11 PDT","63","25.600000381","52.099998474"
"2019-06-19 15:20:14 PDT","64","25.600000381","52.099998474"
"2019-06-19 15:21:17 PDT","65","25.600000381","51.799999237"
"2019-06-19 15:22:23 PDT","66","25.600000381","51.5"
"2019-06-19 15:23:28 PDT","67","25.600000381","51.900001526"
"2019-06-19 15:24:31 PDT","68","25.600000381","51.900001526"
"2019-06-19 15:25:37 PDT","69","25.600000381","52.099998474"
"2019-06-19 15:26:43 PDT","70","25.600000381","53.299999237"
"2019-06-19 15:27:47 PDT","71","25.600000381","52.200000763"
